dcid,sentence
DietaryIntake_Protein_Rural,Protein intake in rural area
DietaryIntake_Protein_Urban,Protein intake in urban area
Export_EconomicActivity_ExportSourceIndia_WorldTotal,Export of from India to the world.
Exports_EconomicActivity_AbrasivePowderOrGrainNaturalOrArtificialOnABas6805,Exports of abrasive powder or grain natural or artificial
Exports_EconomicActivity_AbrasivePowderOrGrainNaturalOrArtificialOnABas6805_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of abrasive powder or grain natural or artificial
Exports_EconomicActivity_AcetalsAndHemiacetalsWhetherOrNotWithOtherOxyg2911,Exports of acetals and hemiacetals whether or not with
Exports_EconomicActivity_AcetalsAndHemiacetalsWhetherOrNotWithOtherOxyg2911_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acetals and hemiacetals whether or not with
Exports_EconomicActivity_AcidsCarboxylicAcidWithAdditionalOxygenFunctionAnd,Exports of acids carboxylic acid with additional oxygen function
Exports_EconomicActivity_AcidsCarboxylicAcidWithAdditionalOxygenFunctionAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acids carboxylic acid with additional oxygen function
Exports_EconomicActivity_AcidsPolycarboxylicAcidsTheirAnhydridesHalides,Exports of acids polycarboxylic acids their anhydrides halides
Exports_EconomicActivity_AcidsPolycarboxylicAcidsTheirAnhydridesHalides_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acids polycarboxylic acids their anhydrides halides
Exports_EconomicActivity_AcidsSaturatedAcyclicMonocarboxylicAcidsAndTheir,Exports of acids saturated acyclic monocarboxylic acids and their
Exports_EconomicActivity_AcidsSaturatedAcyclicMonocarboxylicAcidsAndTheir_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acids saturated acyclic monocarboxylic acids and their
Exports_EconomicActivity_AcidsUnsaturatedAcyclicMonocarboxylicCyclic2916,Exports of acids unsaturated acyclic monocarboxylic cyclic
Exports_EconomicActivity_AcidsUnsaturatedAcyclicMonocarboxylicCyclic2916_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acids unsaturated acyclic monocarboxylic cyclic
Exports_EconomicActivity_AcrylicPolymersInPrimaryForms,Exports of acrylic polymers in primary forms
Exports_EconomicActivity_AcrylicPolymersInPrimaryForms_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acrylic polymers in primary forms
Exports_EconomicActivity_ActivatedCarbonActivatedNaturalMineralProducts,Exports of activated carbon activated natural mineral products
Exports_EconomicActivity_ActivatedCarbonActivatedNaturalMineralProducts_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of activated carbon activated natural mineral products
Exports_EconomicActivity_AcyclicAlcoholsAndTheirHalogenatedSulphonated,Exports of acyclic alcohols and their halogenated sulphonated
Exports_EconomicActivity_AcyclicAlcoholsAndTheirHalogenatedSulphonated_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acyclic alcohols and their halogenated sulphonated
Exports_EconomicActivity_AcyclicHydrocarbons,Exports of acyclic hydrocarbons
Exports_EconomicActivity_AcyclicHydrocarbons_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of acyclic hydrocarbons
Exports_EconomicActivity_AgglomeratedCorkWithOrWithoutABindingSubstanceAnd,Exports of agglomerated cork with or without abinding substance
Exports_EconomicActivity_AgglomeratedCorkWithOrWithoutABindingSubstanceAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of agglomerated cork with or without abinding substance
Exports_EconomicActivity_AgriculturalHorticulturalForestryPoultryKeepingBee,Exports of agricultural horticultural forestry poultry keeping bee
Exports_EconomicActivity_AgriculturalHorticulturalForestryPoultryKeepingBee_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of agricultural horticultural forestry poultry keeping bee
Exports_EconomicActivity_AgriculturalHorticulturalOrForestryMachineryFor,Exports of agricultural horticultural or forestry machinery for
Exports_EconomicActivity_AgriculturalHorticulturalOrForestryMachineryFor_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of agricultural horticultural or forestry machinery for
Exports_EconomicActivity_AirConditioningMachinesComprisingAMotorDrivenF8415,Exports of air conditioning machines comprising amotor driven f
Exports_EconomicActivity_AirConditioningMachinesComprisingAMotorDrivenF8415_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of air conditioning machines comprising amotor driven f
Exports_EconomicActivity_AirOrVacuumPumpsAirOrOtherGasCompressorsAndFans,Exports of air or vacuum pumps air or other
Exports_EconomicActivity_AirOrVacuumPumpsAirOrOtherGasCompressorsAndFans_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of air or vacuum pumps air or other
Exports_EconomicActivity_AircraftLaunchingGearDeckArrestorOrSimilarGear,Exports of aircraft launching gear deck arrestor or similar
Exports_EconomicActivity_AircraftLaunchingGearDeckArrestorOrSimilarGear_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of aircraft launching gear deck arrestor or similar
Exports_EconomicActivity_AircraftNECInHeadingNo8801ExceptUnmannedAircraftOf,Exports of aircraft necin heading no8801except unmanned aircraft of
Exports_EconomicActivity_AircraftNECInHeadingNo8801ExceptUnmannedAircraftOf_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of aircraft necin heading no8801except unmanned aircraft of
Exports_EconomicActivity_AircraftPartsOfGoodsOfHeading88018802Or8806,Exports of aircraft parts of goods of heading88018802or
Exports_EconomicActivity_AircraftPartsOfGoodsOfHeading88018802Or8806_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of aircraft parts of goods of heading88018802or
Exports_EconomicActivity_AircraftSpacecraftAndPartsThereof,Exports of aircraft spacecraft and parts thereof
Exports_EconomicActivity_AircraftSpacecraftAndPartsThereof_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of aircraft spacecraft and parts thereof
Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,Exports of albuminoidal substances modified starches glues enzymes
Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of albuminoidal substances modified starches glues enzymes
Exports_EconomicActivity_AlbuminsIncludingConcentratesOfTwoOrMoreWhey,Exports of albumins including concentrates of two or more
Exports_EconomicActivity_AlbuminsIncludingConcentratesOfTwoOrMoreWhey_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of albumins including concentrates of two or more
Exports_EconomicActivity_AlcoholsCyclicAndTheirHalogenatedSulphonated,Exports of alcohols cyclic and their halogenated sulphonated
Exports_EconomicActivity_AlcoholsCyclicAndTheirHalogenatedSulphonated_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of alcohols cyclic and their halogenated sulphonated
Exports_EconomicActivity_AldehydesHalogenatedSulphonatedNitratedOr2913,Exports of aldehydes halogenated sulphonated nitrated or
Exports_EconomicActivity_AldehydesHalogenatedSulphonatedNitratedOr2913_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of aldehydes halogenated sulphonated nitrated or
Exports_EconomicActivity_AldehydesWhetherOrNotWithOtherOxygenFunctionCyclic,Exports of aldehydes whether or not with other oxygen
Exports_EconomicActivity_AldehydesWhetherOrNotWithOtherOxygenFunctionCyclic_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of aldehydes whether or not with other oxygen
